query,position,sub_position,title,source,domain,published_at_display,published_at_iso,snippet,url,result_type,is_clustered_story,cluster_size,relevance_comment,checked_at,notes
лобов вадим университет синергия,1,,"Вадим Георгиевич Лобов и корпорация ""Синергия"" в фокусе внимания моего очередного подкаста ЖЗЛ Ростокин. Digital",Sostav.ru,sostav.ru,12 июл.,2026-07-12,сниппет Google недоступен,https://www.sostav.ru/blogs/289047/94470,Подкаст / аудиоформат,False,1,Высокая: в заголовке явно упомянуты «Вадим Лобов» и «Синергия».,2026-08-16T23:12:54+00:00,
лобов вадим университет синергия,2,,Шарашкин «университет Синергия» и его мошенник-собственник Вадим Лобов озолотится на уклонистах и халтурщиках,Портал РЕПОСТ,repost.news,12 июл. 2024 г.,2024-07-12,сниппет Google недоступен,https://repost.news/news/12722-sharashkin_universitet_sinergija_i_ego_moshennik-sobstvennik_vadim_lobov_ozolotitsja_na_uklonistah_i_halturshchikah,Критический / расследовательский материал,False,1,Высокая: в заголовке явно упомянуты «Вадим Лобов» и «Синергия». В заголовке есть указание на вуз/образовательную тематику.,2026-08-16T23:12:54+00:00,
лобов вадим университет синергия,3,,Университет «Синергия» помогает ветеранам СВО Ростовской области получить новую профессию и адаптироваться к мирной жизни,zarya-egorlik.ru,zarya-egorlik.ru,20 янв.,2026-01-20,сниппет Google недоступен,https://www.zarya-egorlik.ru/universitet-sinergiya-pomogaet-veteranam-svo-rostovskoy-oblasti-poluchit-novuyu-professiyu-i-adaptirovatsya-k-mirnoy-zhizni/,Новостная статья / заметка СМИ,False,1,"Низкая (сомнительная) релевантность к персоне: упоминается «Синергия», но фамилия «Лобов» в заголовке отсутствует — вероятно, публикация о вузе/компании в целом, а не о Вадиме Лобове лично. В заголовке есть указание на вуз/образовательную тематику.",2026-08-16T23:12:54+00:00,
лобов вадим университет синергия,4,,Вадим Лобов как президент корпорации Синергия сообщил о создании Центра русского языка в Ираке,Отдел N,otdeln.ru,1 нояб. 2025 г.,2025-11-01,сниппет Google недоступен,https://otdeln.ru/education/2025/11/01/vadim-lobov-kak-prezident-korporacii-sinergiya-soobshhil-o-sozdanii-centra-russkogo-yazyka-v-irake/,Новостная статья / заметка СМИ,False,1,Высокая: в заголовке явно упомянуты «Вадим Лобов» и «Синергия».,2026-08-16T23:12:54+00:00,
лобов вадим университет синергия,5,,Вадим Лобов: предприниматель и создатель «Синергии»,Вести Подмосковья,vmo24.ru,28 мая 2024 г.,2024-05-28,сниппет Google недоступен,https://vmo24.ru/news/vadim_lobov_predprinimatel_i_sozdatel_sinergii,Новостная статья / заметка СМИ,False,1,Высокая: в заголовке явно упомянуты «Вадим Лобов» и «Синергия».,2026-08-16T23:12:54+00:00,
лобов вадим университет синергия,6,,Интервью с президентом «Синергии»: «Будем привлекать молодежь к правовому просвещению школьников» - новости Право.ру,ПРАВО.Ru,pravo.ru,5 июл. 2024 г.,2024-07-05,сниппет Google недоступен,https://pravo.ru/story/253963/,Интервью,False,1,"Низкая (сомнительная) релевантность к персоне: упоминается «Синергия», но фамилия «Лобов» в заголовке отсутствует — вероятно, публикация о вузе/компании в целом, а не о Вадиме Лобове лично.",2026-08-16T23:12:54+00:00,
лобов вадим университет синергия,7,,"Как устроен бизнес крупнейшего частного вуза ""Синергия"" • Проект.",Проект медиа,proekt.media,22 окт. 2018 г.,2018-10-22,сниппет Google недоступен,https://www.proekt.media/investigation/synergiya-biznes/,Новостная статья / заметка СМИ,False,1,"Низкая (сомнительная) релевантность к персоне: упоминается «Синергия», но фамилия «Лобов» в заголовке отсутствует — вероятно, публикация о вузе/компании в целом, а не о Вадиме Лобове лично. В заголовке есть указание на вуз/образовательную тематику.",2026-08-16T23:12:54+00:00,
лобов вадим университет синергия,8,,Президент корпорации Синергия Вадим Георгиевич Лобов объявил о выходе на образовательный рынок Африки,Мегаполис — Городская сеть информирования и взаимопомощи,megapolisonline.ru,3 февр. 2024 г.,2024-02-03,сниппет Google недоступен,https://megapolisonline.ru/prezident-korporatsii-sinergiya-vadim-georgievich-lobov-obyavil-o-vyhode-na-obrazovatelnyj-rynok-afriki/,Новостная статья / заметка СМИ,False,1,Высокая: в заголовке явно упомянуты «Вадим Лобов» и «Синергия». В заголовке есть указание на вуз/образовательную тематику.,2026-08-16T23:12:54+00:00,
лобов вадим университет синергия,9,,Вадим Лобов и университет «Синергия»: обещания и реальные отзывы студентов,Парламент.UA,parlament.ua,12 нояб. 2024 г.,2024-11-12,сниппет Google недоступен,https://parlament.ua/ru/news/vadim-lobov-i-universitet-sinergiya-obeshhaniya-i-realnye-otzyvy-studentov/,Новостная статья / заметка СМИ,False,1,Высокая: в заголовке явно упомянуты «Вадим Лобов» и «Синергия». В заголовке есть указание на вуз/образовательную тематику.,2026-08-16T23:12:54+00:00,
лобов вадим университет синергия,10,,Вадим Лобов: «Якутский колледж цифровых профессий поможет республике готовить кадры для креативной экономики»,SakhaDay,sakhaday.ru,12 авг. 2024 г.,2024-08-12,сниппет Google недоступен,https://sakhaday.ru/news/vadim-lobov-yakutskiy-kolledzh-cifrovyh-professiy-pomozhet-respublike-gotovit-kadry-dlya-kreativnoy-ekonomiki,Новостная статья / заметка СМИ,False,1,"Средняя: упомянут «Вадим Лобов», но «Синергия» не встречается в заголовке — стоит проверить текст публикации на предмет контекста.",2026-08-16T23:12:54+00:00,
