query,position,title,source,url,google_url,published_at,published_display,snippet,domain,result_type,grouped_story,relevance_comment,sentiment
лобов вадим университет синергия,1,"Вадим Георгиевич Лобов и корпорация ""Синергия"" в фокусе внимания моего очередного подкаста ЖЗЛ Ростокин. Digital",Sostav.ru,https://www.sostav.ru/blogs/289047/94470,https://news.google.com/read/CBMiUkFVX3lxTE02TGRBVnpSSjBGcmtsSWtrWWdjWkR6OWdkRWlhSlN2Wk5zTHpNenYzZ2VFTnZkZ1MzTVZsM3haRFE4N2RmUkliUkliUWNqaURQTEE?hl=ru&gl=RU&ceid=RU%3Aru,2026-07-12T21:04:52Z,12 июл.,сниппет Google недоступен,sostav.ru,Новостная публикация,False,Высокая: публикация непосредственно о Вадиме Лобове,нейтральная/неопределимая
лобов вадим университет синергия,2,Шарашкин «университет Синергия» и его мошенник-собственник Вадим Лобов озолотится на уклонистах и халтурщиках,Портал РЕПОСТ,https://repost.news/news/12722-sharashkin_universitet_sinergija_i_ego_moshennik-sobstvennik_vadim_lobov_ozolotitsja_na_uklonistah_i_halturshchikah,https://news.google.com/read/CBMi3wFBVV95cUxQX2ozaHcyckQ3SlFFVXFLd2RaQUhTOE1TWlVDRTBxRjZ2cWIzeTNITmlDb0ZMaVpRTlpYYVdFUkVENW84azVZdVoxV0duQ2c5NUxUcm5fWGVQUGtZWElDZ0JfNm0wQTh4cEVZcGI1NWE0dUJxSXZlQUtHN0JFYXczRzlsa2RFOHFHMWpPZTQ3V3BtQ2trZ3FfcldBX0trRWZqMFBNdU5DSzBTSWIwRFRGM0VVOEpiRGN4UmYxUFc1VDF6b1VjMVg0Sk4tYldyMXNiYmVIUXF0M2xXY2FRQ0JZ?hl=ru&gl=RU&ceid=RU%3Aru,2024-07-12T12:04:18Z,12 июл. 2024 г.,сниппет Google недоступен,repost.news,Новостная публикация,False,Высокая: заголовок содержит все слова запроса,негативная
лобов вадим университет синергия,3,Университет «Синергия» помогает ветеранам СВО Ростовской области получить новую профессию и адаптироваться к мирной жизни,zarya-egorlik.ru,https://www.zarya-egorlik.ru/universitet-sinergiya-pomogaet-veteranam-svo-rostovskoy-oblasti-poluchit-novuyu-professiyu-i-adaptirovatsya-k-mirnoy-zhizni/,https://news.google.com/read/CBMi6AFBVV95cUxQWHcyU2hoLUtYODNzUnpCYkF0cFpEQ090enJtbjVKc1l3cWkwRVJ3WS1QaTR5cFhhdVVqaHhBN0xzOGRpTDktc0JfdXNIWm9MRm5VcHE5aUpDdUlKYzgtb2t6WmlmNWsySXp4SWxhalVSNjFKeUFna1hVRHlBSGw4X0F4R1JTMncyVjV0bDhCOUphN2ZtNzVBVWVpWjBjS3R4eUo3RlVIRllJbjZrWGlocHM4S0hSQ0dzdlZ4NVVReTcyXzQ3c05seVhRWGpjaFBJd0E0Rk9FZW5ZVkJ3RU1UelY4UEhQOW0z?hl=ru&gl=RU&ceid=RU%3Aru,2026-01-20T08:00:00Z,20 янв.,сниппет Google недоступен,zarya-egorlik.ru,Новостная публикация,False,Средняя: совпадает часть терминов запроса,позитивная
лобов вадим университет синергия,4,Вадим Лобов как президент корпорации Синергия сообщил о создании Центра русского языка в Ираке,Отдел N,https://otdeln.ru/education/2025/11/01/vadim-lobov-kak-prezident-korporacii-sinergiya-soobshhil-o-sozdanii-centra-russkogo-yazyka-v-irake/,https://news.google.com/read/CBMi1AFBVV95cUxPZHZqYzN0X1laMzhMQUdmb01rSWo5Mm5uLVlGUG5DOWFJdm9rZ0hGYldaZHpRa1RabnFfMEJvZHRVUnNWRGd3OXdYNHJpSG1uczNxVjhKNzNUT2pxcG9uenF0eHM2dFEzSzZxeGJKWEpMQms2X0xkdlNRbHpralVidFpBSVo1SUt0SXBsRmpVbF9veVFEaldReEQ3czVwXzBZTUphUVZwYXBGZ196cmJfYVdQaXVQenRIRjNUVkRtaTh2dUY1MHRBaXk5MW9ieTF3WHBSaA?hl=ru&gl=RU&ceid=RU%3Aru,2025-11-01T07:00:00Z,1 нояб. 2025 г.,сниппет Google недоступен,otdeln.ru,Новостная публикация,False,Высокая: публикация непосредственно о Вадиме Лобове,нейтральная/неопределимая
лобов вадим университет синергия,5,Вадим Лобов: предприниматель и создатель «Синергии»,Вести Подмосковья,https://vmo24.ru/news/vadim_lobov_predprinimatel_i_sozdatel_sinergii,https://news.google.com/read/CBMid0FVX3lxTFB5VTNxSDlWSnl4U1p2ekhSa2YtMHlqcV9QZlh0Szl6QVAzTXE0eU4xZTdHM1FmRzA0MlFrTG03MWR1VlJLWWw3M2kzc0FNNzZYN3hpY2YtTmhzd2dwYlVmd1FMR0ZvazAtdGl4OVhNOEJXT1lUVGN30gF8QVVfeXFMTk5WOWxwNk9zODV5cnRRZnN5WjhHSHRFSnhPYm9jNWxXZW9EcVd5ODJUSUFEbThKTzVvcHBxSWtwNVRiR19wZDVFb0Q3VEJhd21OMVZ5cnZoS1FkaDQ4a2lRbVdyWHc1b2pFUmw4dm5uN2FBN0pqOTJoZ3FOUA?hl=ru&gl=RU&ceid=RU%3Aru,2024-05-28T07:00:00Z,28 мая 2024 г.,сниппет Google недоступен,vmo24.ru,Новостная публикация,False,Высокая: публикация непосредственно о Вадиме Лобове,нейтральная/неопределимая
лобов вадим университет синергия,6,Интервью с президентом «Синергии»: «Будем привлекать молодежь к правовому просвещению школьников» - новости Право.ру,ПРАВО.Ru,https://pravo.ru/story/253963/,https://news.google.com/read/CBMiREFVX3lxTE9ZamJ6UWFycHMxUTVveUwwOXVzT0xQNl9pWGdJMnY1UG9OaXpNYzdyMUFLS3RSWlI1Ull1RlVrZzZ4YlRB0gFKQVVfeXFMUGY4X250YzdQcldPTFk0akVmcFBMLUZvZ1d6eEYzWmtPZWJleVpmUGVQMUtmS255Y1o3TGZFOEtxWXN4R1RIMkk1MVE?hl=ru&gl=RU&ceid=RU%3Aru,2024-07-05T07:00:00Z,5 июл. 2024 г.,сниппет Google недоступен,pravo.ru,Интервью / заявление,False,Низкая: явного совпадения в заголовке нет,нейтральная/неопределимая
лобов вадим университет синергия,7,"Как устроен бизнес крупнейшего частного вуза ""Синергия"" • Проект.",Проект медиа,https://www.proekt.media/investigation/synergiya-biznes/,https://news.google.com/read/CBMiZ0FVX3lxTE5vX2xHNjlndkVobkFLR3lMbHlLQjQtQUNXSTR0eGxORDE4ZDRaYVZOMktUaE82RXRRSzJXejg0dll2VUNNb1I0LThHdW5qM0w0eVNucVJtUXY2aWY5VXNCc01ZZlZyT2s?hl=ru&gl=RU&ceid=RU%3Aru,2018-10-22T07:00:00Z,22 окт. 2018 г.,сниппет Google недоступен,proekt.media,Новостная публикация,False,Средняя: совпадает часть терминов запроса,нейтральная/неопределимая
лобов вадим университет синергия,8,Президент корпорации Синергия Вадим Георгиевич Лобов объявил о выходе на образовательный рынок Африки,Мегаполис — Городская сеть информирования и взаимопомощи,https://megapolisonline.ru/prezident-korporatsii-sinergiya-vadim-georgievich-lobov-obyavil-o-vyhode-na-obrazovatelnyj-rynok-afriki/,https://news.google.com/read/CBMiywFBVV95cUxPQWF3X2tTRzJ4SS1ETkxqX09IYXdxWjBSUWtmSHZzSFEyQjJaWWQzcmxRSTRBQVNTMmJLY2ZGNHVpUG16bjVDeTB6NUZUdXZqM2FMQWFLQV9Sc3QyV3dTMXptVTRHWFB6TXVTU0dudm5UWEZuSXJPbTJTd3dzZC1hbFFUM0dGMEw3LWdrdVZydzNER0QwREJuSnZRLTByWWctZXpaaEtORWRZQ1J2T2tGX0xyZ1I1S2c1V3R3ZjRMUDhMSDRjdm9XY3hPYw?hl=ru&gl=RU&ceid=RU%3Aru,2024-02-03T08:00:00Z,3 февр. 2024 г.,сниппет Google недоступен,megapolisonline.ru,Новостная публикация,False,Высокая: публикация непосредственно о Вадиме Лобове,нейтральная/неопределимая
лобов вадим университет синергия,9,Вадим Лобов и университет «Синергия»: обещания и реальные отзывы студентов,Парламент.UA,https://parlament.ua/ru/news/vadim-lobov-i-universitet-sinergiya-obeshhaniya-i-realnye-otzyvy-studentov/,https://news.google.com/read/CBMipwFBVV95cUxNLUNDR0JfWTQ4MzBkeEdDNVdMS0xUSFVoa3JxR3g1NS1yUHhmb2huT1BxZmtiX1RZdTI0b3A2TWkyUDk5ZEFsV0ZPVm9CblYxZWhlNjg4UjFVYWJEY0JSUHM2U0o1a3ZvVVRLWWFVTDJxZXVIVEI4MkdMZXJFb3V3eUI4TFFYNDVmNW14MExEWmJSTHFieUdSSm9OSjk5Tlg5eVltemtLRdIBrwFBVV95cUxPRlJFVk5NSzBJVVI4TU5mZTdzaE1Bb3V0Rm53cEJLR2V0aTZKUGk2N09DTVJCaWgwNi01dzE3YVhxMk45dXRiMEhUSDlETmp1aVhZOFM0UDJwREk3bEZ4c0lxRU9ZSl8tdmp3WWNJc0VqUFZwNFRiV0Qxd1hBQXBDb00zRHZ3OGNya1FwVFRjc2dSaVVlUmZjZ25GM0kzR1JvMnNucmh5RzVaa0RTSnZj?hl=ru&gl=RU&ceid=RU%3Aru,2024-11-12T08:00:00Z,12 нояб. 2024 г.,сниппет Google недоступен,parlament.ua,Новостная публикация,False,Высокая: заголовок содержит все слова запроса,нейтральная/неопределимая
лобов вадим университет синергия,10,Вадим Лобов: «Якутский колледж цифровых профессий поможет республике готовить кадры для креативной экономики»,SakhaDay,https://sakhaday.ru/news/vadim-lobov-yakutskiy-kolledzh-cifrovyh-professiy-pomozhet-respublike-gotovit-kadry-dlya-kreativnoy-ekonomiki,https://news.google.com/read/CBMizwFBVV95cUxPNXk2bFRPZG92bnpPSkZkT1NEVnNUVGt0Wk94anpnc1VqdE03M1g4S3lJOFpHR050bGRLU0h2RHhmQ1ZEXzY5eWJ1S19WSml3dUtfZGVvUF93eG9UTE5DUnFJbVJZTldoQm01X0hOU3pCT2dzVXlXdjNXenJtUmg1RWJkV1M2RXRjOE5GaHJFSzhqd0REX3VKQ25sOGxHQ1djZ2NGTXFmd3QtVmRNMThpV0ZidnpSWUUtNTgwd2R5TW42NEFua3czczgyeHN0czg?hl=ru&gl=RU&ceid=RU%3Aru,2024-08-12T07:00:00Z,12 авг. 2024 г.,сниппет Google недоступен,sakhaday.ru,Новостная публикация,False,Высокая: публикация непосредственно о Вадиме Лобове,нейтральная/неопределимая
лобов вадим университет синергия,11,Вадим Георгиевич Лобов: Наши студенты смогут получить два диплома — «Синергии» и ведущего университета страны БРИКС | Россия-Онлайн,russia-on.ru,http://www.russia-on.ru/184386,https://news.google.com/read/CBMiREFVX3lxTE4yT3Fqd3RIdk4tOHIzWmVPMlY2RWNvMXJpS2hTYXdkamFwVVNJS3RBYWhGQlFSR1gyb0tuX3BydUowQXRs?hl=ru&gl=RU&ceid=RU%3Aru,2024-02-12T08:00:00Z,12 февр. 2024 г.,сниппет Google недоступен,russia-on.ru,Новостная публикация,False,Высокая: публикация непосредственно о Вадиме Лобове,нейтральная/неопределимая
лобов вадим университет синергия,12,Глава «Синергии» Вадим Лобов анонсировал запуск Центра трансфера технологий для превращения инноваций в бизнес-продукты — Осетия ТВ,Осетия ТВ,https://www.ossetia.tv/2023/03/07/lobov-vadim-georgievich-universiteta-sinergiya/,https://news.google.com/read/CBMiiAFBVV95cUxOOGQzVDR6MklDam8yT0VIREptSnkwYnk0MGluV3J6UGZXNWdSR0pfMlJMMEc2bUtnNFBDQlFfUlRlWVUwV054M3UxNFVaZHZ1VEM2cGFQckJ2TmlWek4wQmEyOGJWVlhyaDhYRExjSFpKSFp3QmxmT1pHOTZQOENBOFBLWHpJaTli?hl=ru&gl=RU&ceid=RU%3Aru,2023-03-07T08:00:00Z,7 мар. 2023 г.,сниппет Google недоступен,ossetia.tv,Новостная публикация,False,Высокая: публикация непосредственно о Вадиме Лобове,нейтральная/неопределимая
лобов вадим университет синергия,13,"Друзья Шварценеггера: Как владельцы университета ""Синергия"" зарабатывают миллиарды",Портал РЕПОСТ,https://m.repost.news/news/9867-druzjja_shvartseneggera_kak_vladeljtsy_universiteta_sinergija_zarabatyvajut_milliardy/print,https://news.google.com/read/CBMiwAFBVV95cUxQVGFtTTQ2Rnd4NEhsSnhxWEhTcVcxTko1X2g2OWs1SDNiVVM1anJlZF9CUVZGOFdyTGxEbFJ6R0xmTnN0ZHJvSWZXaW1wV1lRbko0eEd2bHhHWmFSd29oUWNNMkNTQUJzcVRHSGljQ180Z0psc1pJa1g5NFM5azM3Xzg0T0dXMGZGNy1TSVBtSGV5ejBmaHdVc2R0WVJEMUJadFM5OTBMa2FnQVNzZFh3U1hXRUZ1OUtXcnk4Nk93NXQ?hl=ru&gl=RU&ceid=RU%3Aru,2022-10-24T07:00:00Z,24 окт. 2022 г.,сниппет Google недоступен,m.repost.news,Новостная публикация,False,Средняя: совпадает часть терминов запроса,нейтральная/неопределимая
лобов вадим университет синергия,14,"Вадим Лобов - досье, биография, фото, последние новости",Парламент.UA,https://parlament.ua/ru/dossier/lobov-vadim/,https://news.google.com/read/CBMiV0FVX3lxTE5kQTlWMmxpQ0tVci1ZY2V1ZG9zdlBLRklnaFVyTkk0QUR2aHpEYjdlWjFCalZmcWRMQ3lhV3hSUldpbm1GeWItbURFNFFlSUFycUVwLTZDdw?hl=ru&gl=RU&ceid=RU%3Aru,2024-07-18T07:00:00Z,18 июл. 2024 г.,сниппет Google недоступен,parlament.ua,Справочный материал / профиль,False,Высокая: публикация непосредственно о Вадиме Лобове,нейтральная/неопределимая
лобов вадим университет синергия,15,Мошенничество под прикрытием ВУЗа: как разводят на деньги студентов «Синергии»,Портал РЕПОСТ,https://repost.news/news/11272-moshennichestvo_pod_prikrytiem_vuza_kak_razvodjat_na_denjgi_studentov_sinergii,https://news.google.com/read/CBMirgFBVV95cUxPQ29nUXM4NGNYMUd1N2ZVcG1ndlVmMnpwWHRKODRjbTRuTnpZSE1OT25jMWl0Qy1ZbUs3ZXA0aEU5d2F3OUt6N3VDdHV3dHRZWmpuVEpBM21Yam5xMmM0WW1UYlJWemMweFh5SnVsQ1R4NVBCNmNaSF9uMGVGcHRwRGZLR1hpZUlTRHc3R3pPd0lQS2hRMXR5cG9BdDVOdXpONVgySkp4RzFUSi1Jemc?hl=ru&gl=RU&ceid=RU%3Aru,2022-11-15T08:00:00Z,15 нояб. 2022 г.,сниппет Google недоступен,repost.news,Новостная публикация,False,Низкая: явного совпадения в заголовке нет,негативная
лобов вадим синергия,1,"Вадим Георгиевич Лобов и корпорация ""Синергия"" в фокусе внимания моего очередного подкаста ЖЗЛ Ростокин. Digital",Sostav.ru,https://www.sostav.ru/blogs/289047/94470,https://news.google.com/read/CBMiUkFVX3lxTE02TGRBVnpSSjBGcmtsSWtrWWdjWkR6OWdkRWlhSlN2Wk5zTHpNenYzZ2VFTnZkZ1MzTVZsM3haRFE4N2RmUkliUkliUWNqaURQTEE?hl=ru&gl=RU&ceid=RU%3Aru,2026-07-12T21:04:52Z,12 июл.,сниппет Google недоступен,sostav.ru,Новостная публикация,False,Высокая: заголовок содержит все слова запроса,нейтральная/неопределимая
лобов вадим синергия,2,Президент «Синергии» Лобов: «Грамотная миграционная политика—решение проблемы кадров»,Forbes.ru,https://www.forbes.ru/club/552791-prezident-sinergii-lobov-gramotnaa-migracionnaa-politika-resenie-problemy-kadrov,https://news.google.com/read/CBMitAFBVV95cUxPdEhLd1RPNXZ4Y1pNYmFxTmZWZDV4SmFnTmNnRWRuWk83ZWFHemp1TzRpYURQaEJaemFPeGxzM1JlUU5ZUHJqN0ZRVExjcHFpMjVMNWJVcUx3OHJDNVBNZmVFb0VGeTNtNks3N1BpNm1oSWYwSVVyWG9yaHNwV180U2FQUXFXbS13UU9uUzlUUk05dEZwbUR0UDg5by1PM1N4ZjFFTjhMVXpKMnpuWUI4RXpmYzc?hl=ru&gl=RU&ceid=RU%3Aru,2025-12-29T08:00:00Z,29 дек. 2025 г.,сниппет Google недоступен,forbes.ru,Новостная публикация,False,Средняя: совпадает часть терминов запроса,нейтральная/неопределимая
лобов вадим синергия,3,Вадим Лобов и корпорация «Синергия» запустили выставку «За тридевять земель» на ВДНХ как новое прочтение классики русского искусства с поддержкой мультимедиа форматов — SMINEWS,SMINEWS,https://sminews.ru/2891,https://news.google.com/read/CBMiO0FVX3lxTE5BTXZMclE0TlZmanBCTjFfYkI5d3BNUTNSMmtlSk9IOUhRYzY0TEF4QjRMbmcxcWF3cEgw?hl=ru&gl=RU&ceid=RU%3Aru,2025-11-03T08:00:00Z,3 нояб. 2025 г.,сниппет Google недоступен,sminews.ru,Новостная публикация,False,Высокая: заголовок содержит все слова запроса,нейтральная/неопределимая
лобов вадим синергия,4,Вадим Лобов как президент корпорации Синергия сообщил о создании Центра русского языка в Ираке,Отдел N,https://otdeln.ru/education/2025/11/01/vadim-lobov-kak-prezident-korporacii-sinergiya-soobshhil-o-sozdanii-centra-russkogo-yazyka-v-irake/,https://news.google.com/read/CBMi1AFBVV95cUxPZHZqYzN0X1laMzhMQUdmb01rSWo5Mm5uLVlGUG5DOWFJdm9rZ0hGYldaZHpRa1RabnFfMEJvZHRVUnNWRGd3OXdYNHJpSG1uczNxVjhKNzNUT2pxcG9uenF0eHM2dFEzSzZxeGJKWEpMQms2X0xkdlNRbHpralVidFpBSVo1SUt0SXBsRmpVbF9veVFEaldReEQ3czVwXzBZTUphUVZwYXBGZ196cmJfYVdQaXVQenRIRjNUVkRtaTh2dUY1MHRBaXk5MW9ieTF3WHBSaA?hl=ru&gl=RU&ceid=RU%3Aru,2025-11-01T07:00:00Z,1 нояб. 2025 г.,сниппет Google недоступен,otdeln.ru,Новостная публикация,False,Высокая: заголовок содержит все слова запроса,нейтральная/неопределимая
лобов вадим синергия,5,Университет «Синергия» помогает ветеранам СВО Ростовской области получить новую профессию и адаптироваться к мирной жизни,zarya-egorlik.ru,https://www.zarya-egorlik.ru/universitet-sinergiya-pomogaet-veteranam-svo-rostovskoy-oblasti-poluchit-novuyu-professiyu-i-adaptirovatsya-k-mirnoy-zhizni/,https://news.google.com/read/CBMi6AFBVV95cUxQWHcyU2hoLUtYODNzUnpCYkF0cFpEQ090enJtbjVKc1l3cWkwRVJ3WS1QaTR5cFhhdVVqaHhBN0xzOGRpTDktc0JfdXNIWm9MRm5VcHE5aUpDdUlKYzgtb2t6WmlmNWsySXp4SWxhalVSNjFKeUFna1hVRHlBSGw4X0F4R1JTMncyVjV0bDhCOUphN2ZtNzVBVWVpWjBjS3R4eUo3RlVIRllJbjZrWGlocHM4S0hSQ0dzdlZ4NVVReTcyXzQ3c05seVhRWGpjaFBJd0E0Rk9FZW5ZVkJ3RU1UelY4UEhQOW0z?hl=ru&gl=RU&ceid=RU%3Aru,2026-01-20T08:00:00Z,20 янв.,сниппет Google недоступен,zarya-egorlik.ru,Новостная публикация,False,Средняя: совпадает часть терминов запроса,позитивная
лобов вадим синергия,6,они свяжут главные точки обители в единую маршрутную сеть для паломников,Журнал ФОМА,https://foma.ru/patriarhu-kirillu-predstavili-proekt-ekotrop-na-valaame-oni-svyazhut-glavnye-tochki-obiteli-v-edinuyu-marshrutnuyu-set-dlya-palomnikov.html,https://news.google.com/read/CBMi6wFBVV95cUxPVDhjbjFxQzJmYmNoeVM2MVZCNndMUk5GM3Z0OUFZelBzYzhzbWpWUFh1SWUxeklvWEFBd0h2VnpjUUF1eXg0MjRqeTk2dHhDZWFUVmVsYkxpeVNVWDNqMFk5NEhKUkNKZG1UdXVING1kWnAzUWtkLVpPMG9HdlB2ZjVqN3lOZENEcnRQajFKR2lSSG1jMWRRLUN2MVUyNHNhSENiOGt5TVpsbTJkVXAxUGd3QW5nZEJ0M1FjNmJNLUNKdXV4LWVCeGgzcENVWG45cWJjU2NXNWc4TmZ0UEFoSU1kRmZYMHUwdl9B?hl=ru&gl=RU&ceid=RU%3Aru,2026-07-15T07:00:00Z,15 июл.,сниппет Google недоступен,foma.ru,Новостная публикация,False,Низкая: явного совпадения в заголовке нет,нейтральная/неопределимая
лобов вадим синергия,7,Шарашкин «университет Синергия» и его мошенник-собственник Вадим Лобов озолотится на уклонистах и халтурщиках,Портал РЕПОСТ,https://repost.news/news/12722-sharashkin_universitet_sinergija_i_ego_moshennik-sobstvennik_vadim_lobov_ozolotitsja_na_uklonistah_i_halturshchikah,https://news.google.com/read/CBMi3wFBVV95cUxQX2ozaHcyckQ3SlFFVXFLd2RaQUhTOE1TWlVDRTBxRjZ2cWIzeTNITmlDb0ZMaVpRTlpYYVdFUkVENW84azVZdVoxV0duQ2c5NUxUcm5fWGVQUGtZWElDZ0JfNm0wQTh4cEVZcGI1NWE0dUJxSXZlQUtHN0JFYXczRzlsa2RFOHFHMWpPZTQ3V3BtQ2trZ3FfcldBX0trRWZqMFBNdU5DSzBTSWIwRFRGM0VVOEpiRGN4UmYxUFc1VDF6b1VjMVg0Sk4tYldyMXNiYmVIUXF0M2xXY2FRQ0JZ?hl=ru&gl=RU&ceid=RU%3Aru,2024-07-12T12:04:18Z,12 июл. 2024 г.,сниппет Google недоступен,repost.news,Новостная публикация,False,Высокая: заголовок содержит все слова запроса,негативная
лобов вадим синергия,8,Вадим Лобов: предприниматель и создатель «Синергии»,Вести Подмосковья,https://vmo24.ru/news/vadim_lobov_predprinimatel_i_sozdatel_sinergii,https://news.google.com/read/CBMid0FVX3lxTFB5VTNxSDlWSnl4U1p2ekhSa2YtMHlqcV9QZlh0Szl6QVAzTXE0eU4xZTdHM1FmRzA0MlFrTG03MWR1VlJLWWw3M2kzc0FNNzZYN3hpY2YtTmhzd2dwYlVmd1FMR0ZvazAtdGl4OVhNOEJXT1lUVGN30gF8QVVfeXFMTk5WOWxwNk9zODV5cnRRZnN5WjhHSHRFSnhPYm9jNWxXZW9EcVd5ODJUSUFEbThKTzVvcHBxSWtwNVRiR19wZDVFb0Q3VEJhd21OMVZ5cnZoS1FkaDQ4a2lRbVdyWHc1b2pFUmw4dm5uN2FBN0pqOTJoZ3FOUA?hl=ru&gl=RU&ceid=RU%3Aru,2024-05-28T07:00:00Z,28 мая 2024 г.,сниппет Google недоступен,vmo24.ru,Новостная публикация,False,Высокая: публикация непосредственно о Вадиме Лобове,нейтральная/неопределимая
лобов вадим синергия,9,Интервью с президентом «Синергии»: «Будем привлекать молодежь к правовому просвещению школьников» - новости Право.ру,ПРАВО.Ru,https://pravo.ru/story/253963/,https://news.google.com/read/CBMiREFVX3lxTE9ZamJ6UWFycHMxUTVveUwwOXVzT0xQNl9pWGdJMnY1UG9OaXpNYzdyMUFLS3RSWlI1Ull1RlVrZzZ4YlRB0gFKQVVfeXFMUGY4X250YzdQcldPTFk0akVmcFBMLUZvZ1d6eEYzWmtPZWJleVpmUGVQMUtmS255Y1o3TGZFOEtxWXN4R1RIMkk1MVE?hl=ru&gl=RU&ceid=RU%3Aru,2024-07-05T07:00:00Z,5 июл. 2024 г.,сниппет Google недоступен,pravo.ru,Интервью / заявление,False,Низкая: явного совпадения в заголовке нет,нейтральная/неопределимая
лобов вадим синергия,10,Выставка «За тридевять земель»: мультимедийное погружение в шедевры русского искусства на ВДНХ при поддержке Вадима Лобова — Осетия ТВ,Осетия ТВ,https://www.ossetia.tv/2025/09/10/vystavka-za-tridevyat-zemel-multimedijnoe-pogruzhenie-v-shedevry-russkogo-iskusstva-na-vdnh-pri-podderzhke-vadima-lobova/,https://news.google.com/read/CBMi6wFBVV95cUxOQldsZlZCRDM3UDV0UzhxeXlmUVI4R1ZuRnQzZEhlT2wzRFEtaWdpZEY5cUNPN3pNRXB0d01lbFFRQVhGMS1BR00wVjY3M2FCWW9abzdQblc3M2hQLVdmYVpiTFd5cVludWpleHhHM0NQT1NQOWpMMWM4amtJT1BLNnNrMXFRRW04RE8ycmlEUU1hM2J0SDU2d3l2bGk2OXNTVW9SWE1rNEZJMjRKMVVmVmpRWXpvMDJHRjFMYXNoaFhBWlBlaTQwVzhqRHJqTkZSR3BNaDZCMGFvUi16Z1hoc3g1V2NkcmVkeUVR?hl=ru&gl=RU&ceid=RU%3Aru,2025-09-10T07:00:00Z,10 сент. 2025 г.,сниппет Google недоступен,ossetia.tv,Новостная публикация,False,Низкая: явного совпадения в заголовке нет,нейтральная/неопределимая
лобов вадим синергия,11,Президент корпорации Синергия Вадим Георгиевич Лобов объявил о выходе на образовательный рынок Африки,Мегаполис — Городская сеть информирования и взаимопомощи,https://megapolisonline.ru/prezident-korporatsii-sinergiya-vadim-georgievich-lobov-obyavil-o-vyhode-na-obrazovatelnyj-rynok-afriki/,https://news.google.com/read/CBMiywFBVV95cUxPQWF3X2tTRzJ4SS1ETkxqX09IYXdxWjBSUWtmSHZzSFEyQjJaWWQzcmxRSTRBQVNTMmJLY2ZGNHVpUG16bjVDeTB6NUZUdXZqM2FMQWFLQV9Sc3QyV3dTMXptVTRHWFB6TXVTU0dudm5UWEZuSXJPbTJTd3dzZC1hbFFUM0dGMEw3LWdrdVZydzNER0QwREJuSnZRLTByWWctZXpaaEtORWRZQ1J2T2tGX0xyZ1I1S2c1V3R3ZjRMUDhMSDRjdm9XY3hPYw?hl=ru&gl=RU&ceid=RU%3Aru,2024-02-03T08:00:00Z,3 февр. 2024 г.,сниппет Google недоступен,megapolisonline.ru,Новостная публикация,False,Высокая: заголовок содержит все слова запроса,нейтральная/неопределимая
