query,position,title,source,publication_date,snippet,publication_url,domain,result_type,relevance_comment,story_cluster,google_news_url
лобов вадим университет синергия,1,"Вадим Георгиевич Лобов и корпорация ""Синергия"" в фокусе внимания моего очередного подкаста ЖЗЛ Ростокин. Digital",Sostav.ru,2026-07-12T21:04:52+00:00,сниппет Google недоступен,https://news.google.com/rss/articles/CBMiUkFVX3lxTE02TGRBVnpSSjBGcmtsSWtrWWdjWkR6OWdkRWlhSlN2Wk5zTHpNenYzZ2VFTnZkZ1MzTVZsM3haRFE4N2RmUkliUkliUWNqaURQTEE?oc=5,news.google.com,Новостная публикация (Google News RSS),Средняя: большая часть значимых слов запроса есть в заголовке.,Не определено: Google News RSS не передаёт признак сюжета.,https://news.google.com/rss/articles/CBMiUkFVX3lxTE02TGRBVnpSSjBGcmtsSWtrWWdjWkR6OWdkRWlhSlN2Wk5zTHpNenYzZ2VFTnZkZ1MzTVZsM3haRFE4N2RmUkliUkliUWNqaURQTEE?oc=5
лобов вадим университет синергия,2,"Лобов Вадим Георгиевич выдоил миллиарды, прикрываясь «Синергией» и физиономией рэпера Басты",nabludatel.od.ua,2026-07-06T07:00:00+00:00,сниппет Google недоступен,https://news.google.com/rss/articles/CBMid0FVX3lxTE1kZmtHdEhMVTUtdFRDLXZabUtUX1lrY3JMcm1XX3lGU0l6S1ZPSERsV2F2dnpENEJodjJXTXB4bzZ2NjJHQXpydUlVSVpQRnN1SDcxbmMxR1hBdmFUZzRGbGJXajRHNFFIX0p5UFBGTVlMdXAzUVRv?oc=5,news.google.com,Новостная публикация (Google News RSS),"Низкая: Google News показал результат, но заголовок слабо совпадает с запросом.",Не определено: Google News RSS не передаёт признак сюжета.,https://news.google.com/rss/articles/CBMid0FVX3lxTE1kZmtHdEhMVTUtdFRDLXZabUtUX1lrY3JMcm1XX3lGU0l6S1ZPSERsV2F2dnpENEJodjJXTXB4bzZ2NjJHQXpydUlVSVpQRnN1SDcxbmMxR1hBdmFUZzRGbGJXajRHNFFIX0p5UFBGTVlMdXAzUVRv?oc=5
лобов вадим университет синергия,3,Шарашкин «университет Синергия» и его мошенник-собственник Вадим Лобов озолотится на уклонистах и халтурщиках,Портал РЕПОСТ,2024-07-12T12:04:18+00:00,сниппет Google недоступен,https://news.google.com/rss/articles/CBMi3wFBVV95cUxQX2ozaHcyckQ3SlFFVXFLd2RaQUhTOE1TWlVDRTBxRjZ2cWIzeTNITmlDb0ZMaVpRTlpYYVdFUkVENW84azVZdVoxV0duQ2c5NUxUcm5fWGVQUGtZWElDZ0JfNm0wQTh4cEVZcGI1NWE0dUJxSXZlQUtHN0JFYXczRzlsa2RFOHFHMWpPZTQ3V3BtQ2trZ3FfcldBX0trRWZqMFBNdU5DSzBTSWIwRFRGM0VVOEpiRGN4UmYxUFc1VDF6b1VjMVg0Sk4tYldyMXNiYmVIUXF0M2xXY2FRQ0JZ?oc=5,news.google.com,Новостная публикация (Google News RSS),Высокая: все значимые слова запроса есть в заголовке.,Не определено: Google News RSS не передаёт признак сюжета.,https://news.google.com/rss/articles/CBMi3wFBVV95cUxQX2ozaHcyckQ3SlFFVXFLd2RaQUhTOE1TWlVDRTBxRjZ2cWIzeTNITmlDb0ZMaVpRTlpYYVdFUkVENW84azVZdVoxV0duQ2c5NUxUcm5fWGVQUGtZWElDZ0JfNm0wQTh4cEVZcGI1NWE0dUJxSXZlQUtHN0JFYXczRzlsa2RFOHFHMWpPZTQ3V3BtQ2trZ3FfcldBX0trRWZqMFBNdU5DSzBTSWIwRFRGM0VVOEpiRGN4UmYxUFc1VDF6b1VjMVg0Sk4tYldyMXNiYmVIUXF0M2xXY2FRQ0JZ?oc=5
лобов вадим университет синергия,4,Университет «Синергия» помогает ветеранам СВО Ростовской области получить новую профессию и адаптироваться к мирной жизни,zarya-egorlik.ru,2026-01-20T08:00:00+00:00,сниппет Google недоступен,https://news.google.com/rss/articles/CBMi6AFBVV95cUxQWHcyU2hoLUtYODNzUnpCYkF0cFpEQ090enJtbjVKc1l3cWkwRVJ3WS1QaTR5cFhhdVVqaHhBN0xzOGRpTDktc0JfdXNIWm9MRm5VcHE5aUpDdUlKYzgtb2t6WmlmNWsySXp4SWxhalVSNjFKeUFna1hVRHlBSGw4X0F4R1JTMncyVjV0bDhCOUphN2ZtNzVBVWVpWjBjS3R4eUo3RlVIRllJbjZrWGlocHM4S0hSQ0dzdlZ4NVVReTcyXzQ3c05seVhRWGpjaFBJd0E0Rk9FZW5ZVkJ3RU1UelY4UEhQOW0z?oc=5,news.google.com,Новостная публикация (Google News RSS),"Низкая: Google News показал результат, но заголовок слабо совпадает с запросом.",Не определено: Google News RSS не передаёт признак сюжета.,https://news.google.com/rss/articles/CBMi6AFBVV95cUxQWHcyU2hoLUtYODNzUnpCYkF0cFpEQ090enJtbjVKc1l3cWkwRVJ3WS1QaTR5cFhhdVVqaHhBN0xzOGRpTDktc0JfdXNIWm9MRm5VcHE5aUpDdUlKYzgtb2t6WmlmNWsySXp4SWxhalVSNjFKeUFna1hVRHlBSGw4X0F4R1JTMncyVjV0bDhCOUphN2ZtNzVBVWVpWjBjS3R4eUo3RlVIRllJbjZrWGlocHM4S0hSQ0dzdlZ4NVVReTcyXzQ3c05seVhRWGpjaFBJd0E0Rk9FZW5ZVkJ3RU1UelY4UEhQOW0z?oc=5
лобов вадим университет синергия,5,Вадим Лобов: предприниматель и создатель «Синергии»,Вести Подмосковья,2024-05-28T07:00:00+00:00,сниппет Google недоступен,https://news.google.com/rss/articles/CBMid0FVX3lxTFB5VTNxSDlWSnl4U1p2ekhSa2YtMHlqcV9QZlh0Szl6QVAzTXE0eU4xZTdHM1FmRzA0MlFrTG03MWR1VlJLWWw3M2kzc0FNNzZYN3hpY2YtTmhzd2dwYlVmd1FMR0ZvazAtdGl4OVhNOEJXT1lUVGN30gF8QVVfeXFMTk5WOWxwNk9zODV5cnRRZnN5WjhHSHRFSnhPYm9jNWxXZW9EcVd5ODJUSUFEbThKTzVvcHBxSWtwNVRiR19wZDVFb0Q3VEJhd21OMVZ5cnZoS1FkaDQ4a2lRbVdyWHc1b2pFUmw4dm5uN2FBN0pqOTJoZ3FOUA?oc=5,news.google.com,Новостная публикация (Google News RSS),"Низкая: Google News показал результат, но заголовок слабо совпадает с запросом.",Не определено: Google News RSS не передаёт признак сюжета.,https://news.google.com/rss/articles/CBMid0FVX3lxTFB5VTNxSDlWSnl4U1p2ekhSa2YtMHlqcV9QZlh0Szl6QVAzTXE0eU4xZTdHM1FmRzA0MlFrTG03MWR1VlJLWWw3M2kzc0FNNzZYN3hpY2YtTmhzd2dwYlVmd1FMR0ZvazAtdGl4OVhNOEJXT1lUVGN30gF8QVVfeXFMTk5WOWxwNk9zODV5cnRRZnN5WjhHSHRFSnhPYm9jNWxXZW9EcVd5ODJUSUFEbThKTzVvcHBxSWtwNVRiR19wZDVFb0Q3VEJhd21OMVZ5cnZoS1FkaDQ4a2lRbVdyWHc1b2pFUmw4dm5uN2FBN0pqOTJoZ3FOUA?oc=5
лобов вадим университет синергия,6,Вадим Лобов как президент корпорации Синергия сообщил о создании Центра русского языка в Ираке,Отдел N,2025-11-01T07:00:00+00:00,сниппет Google недоступен,https://news.google.com/rss/articles/CBMi1AFBVV95cUxPZHZqYzN0X1laMzhMQUdmb01rSWo5Mm5uLVlGUG5DOWFJdm9rZ0hGYldaZHpRa1RabnFfMEJvZHRVUnNWRGd3OXdYNHJpSG1uczNxVjhKNzNUT2pxcG9uenF0eHM2dFEzSzZxeGJKWEpMQms2X0xkdlNRbHpralVidFpBSVo1SUt0SXBsRmpVbF9veVFEaldReEQ3czVwXzBZTUphUVZwYXBGZ196cmJfYVdQaXVQenRIRjNUVkRtaTh2dUY1MHRBaXk5MW9ieTF3WHBSaA?oc=5,news.google.com,Новостная публикация (Google News RSS),Средняя: большая часть значимых слов запроса есть в заголовке.,Не определено: Google News RSS не передаёт признак сюжета.,https://news.google.com/rss/articles/CBMi1AFBVV95cUxPZHZqYzN0X1laMzhMQUdmb01rSWo5Mm5uLVlGUG5DOWFJdm9rZ0hGYldaZHpRa1RabnFfMEJvZHRVUnNWRGd3OXdYNHJpSG1uczNxVjhKNzNUT2pxcG9uenF0eHM2dFEzSzZxeGJKWEpMQms2X0xkdlNRbHpralVidFpBSVo1SUt0SXBsRmpVbF9veVFEaldReEQ3czVwXzBZTUphUVZwYXBGZ196cmJfYVdQaXVQenRIRjNUVkRtaTh2dUY1MHRBaXk5MW9ieTF3WHBSaA?oc=5
лобов вадим университет синергия,7,Интервью с президентом «Синергии»: «Будем привлекать молодежь к правовому просвещению школьников» - новости Право.ру,ПРАВО.Ru,2024-07-05T07:00:00+00:00,сниппет Google недоступен,https://news.google.com/rss/articles/CBMiREFVX3lxTE9ZamJ6UWFycHMxUTVveUwwOXVzT0xQNl9pWGdJMnY1UG9OaXpNYzdyMUFLS3RSWlI1Ull1RlVrZzZ4YlRB0gFKQVVfeXFMUGY4X250YzdQcldPTFk0akVmcFBMLUZvZ1d6eEYzWmtPZWJleVpmUGVQMUtmS255Y1o3TGZFOEtxWXN4R1RIMkk1MVE?oc=5,news.google.com,Новостная публикация (Google News RSS),"Низкая: Google News показал результат, но заголовок слабо совпадает с запросом.",Не определено: Google News RSS не передаёт признак сюжета.,https://news.google.com/rss/articles/CBMiREFVX3lxTE9ZamJ6UWFycHMxUTVveUwwOXVzT0xQNl9pWGdJMnY1UG9OaXpNYzdyMUFLS3RSWlI1Ull1RlVrZzZ4YlRB0gFKQVVfeXFMUGY4X250YzdQcldPTFk0akVmcFBMLUZvZ1d6eEYzWmtPZWJleVpmUGVQMUtmS255Y1o3TGZFOEtxWXN4R1RIMkk1MVE?oc=5
лобов вадим университет синергия,8,"Как устроен бизнес крупнейшего частного вуза ""Синергия"" • Проект.",Проект медиа,2018-10-22T07:00:00+00:00,сниппет Google недоступен,https://news.google.com/rss/articles/CBMiZ0FVX3lxTE5vX2xHNjlndkVobkFLR3lMbHlLQjQtQUNXSTR0eGxORDE4ZDRaYVZOMktUaE82RXRRSzJXejg0dll2VUNNb1I0LThHdW5qM0w0eVNucVJtUXY2aWY5VXNCc01ZZlZyT2s?oc=5,news.google.com,Новостная публикация (Google News RSS),"Низкая: Google News показал результат, но заголовок слабо совпадает с запросом.",Не определено: Google News RSS не передаёт признак сюжета.,https://news.google.com/rss/articles/CBMiZ0FVX3lxTE5vX2xHNjlndkVobkFLR3lMbHlLQjQtQUNXSTR0eGxORDE4ZDRaYVZOMktUaE82RXRRSzJXejg0dll2VUNNb1I0LThHdW5qM0w0eVNucVJtUXY2aWY5VXNCc01ZZlZyT2s?oc=5
лобов вадим университет синергия,9,Президент корпорации Синергия Вадим Георгиевич Лобов объявил о выходе на образовательный рынок Африки,Мегаполис — Городская сеть информирования и взаимопомощи,2024-02-03T08:00:00+00:00,сниппет Google недоступен,https://news.google.com/rss/articles/CBMiywFBVV95cUxPQWF3X2tTRzJ4SS1ETkxqX09IYXdxWjBSUWtmSHZzSFEyQjJaWWQzcmxRSTRBQVNTMmJLY2ZGNHVpUG16bjVDeTB6NUZUdXZqM2FMQWFLQV9Sc3QyV3dTMXptVTRHWFB6TXVTU0dudm5UWEZuSXJPbTJTd3dzZC1hbFFUM0dGMEw3LWdrdVZydzNER0QwREJuSnZRLTByWWctZXpaaEtORWRZQ1J2T2tGX0xyZ1I1S2c1V3R3ZjRMUDhMSDRjdm9XY3hPYw?oc=5,news.google.com,Новостная публикация (Google News RSS),Средняя: большая часть значимых слов запроса есть в заголовке.,Не определено: Google News RSS не передаёт признак сюжета.,https://news.google.com/rss/articles/CBMiywFBVV95cUxPQWF3X2tTRzJ4SS1ETkxqX09IYXdxWjBSUWtmSHZzSFEyQjJaWWQzcmxRSTRBQVNTMmJLY2ZGNHVpUG16bjVDeTB6NUZUdXZqM2FMQWFLQV9Sc3QyV3dTMXptVTRHWFB6TXVTU0dudm5UWEZuSXJPbTJTd3dzZC1hbFFUM0dGMEw3LWdrdVZydzNER0QwREJuSnZRLTByWWctZXpaaEtORWRZQ1J2T2tGX0xyZ1I1S2c1V3R3ZjRMUDhMSDRjdm9XY3hPYw?oc=5
лобов вадим университет синергия,10,Вадим Лобов: «Якутский колледж цифровых профессий поможет республике готовить кадры для креативной экономики»,SakhaDay,2024-08-12T07:00:00+00:00,сниппет Google недоступен,https://news.google.com/rss/articles/CBMizwFBVV95cUxPNXk2bFRPZG92bnpPSkZkT1NEVnNUVGt0Wk94anpnc1VqdE03M1g4S3lJOFpHR050bGRLU0h2RHhmQ1ZEXzY5eWJ1S19WSml3dUtfZGVvUF93eG9UTE5DUnFJbVJZTldoQm01X0hOU3pCT2dzVXlXdjNXenJtUmg1RWJkV1M2RXRjOE5GaHJFSzhqd0REX3VKQ25sOGxHQ1djZ2NGTXFmd3QtVmRNMThpV0ZidnpSWUUtNTgwd2R5TW42NEFua3czczgyeHN0czg?oc=5,news.google.com,Новостная публикация (Google News RSS),"Низкая: Google News показал результат, но заголовок слабо совпадает с запросом.",Не определено: Google News RSS не передаёт признак сюжета.,https://news.google.com/rss/articles/CBMizwFBVV95cUxPNXk2bFRPZG92bnpPSkZkT1NEVnNUVGt0Wk94anpnc1VqdE03M1g4S3lJOFpHR050bGRLU0h2RHhmQ1ZEXzY5eWJ1S19WSml3dUtfZGVvUF93eG9UTE5DUnFJbVJZTldoQm01X0hOU3pCT2dzVXlXdjNXenJtUmg1RWJkV1M2RXRjOE5GaHJFSzhqd0REX3VKQ25sOGxHQ1djZ2NGTXFmd3QtVmRNMThpV0ZidnpSWUUtNTgwd2R5TW42NEFua3czczgyeHN0czg?oc=5
лобов вадим университет синергия,11,"Вадим Лобов - досье, биография, фото, последние новости",Парламент.UA,2024-07-18T07:00:00+00:00,сниппет Google недоступен,https://news.google.com/rss/articles/CBMiV0FVX3lxTE5kQTlWMmxpQ0tVci1ZY2V1ZG9zdlBLRklnaFVyTkk0QUR2aHpEYjdlWjFCalZmcWRMQ3lhV3hSUldpbm1GeWItbURFNFFlSUFycUVwLTZDdw?oc=5,news.google.com,Новостная публикация (Google News RSS),"Низкая: Google News показал результат, но заголовок слабо совпадает с запросом.",Не определено: Google News RSS не передаёт признак сюжета.,https://news.google.com/rss/articles/CBMiV0FVX3lxTE5kQTlWMmxpQ0tVci1ZY2V1ZG9zdlBLRklnaFVyTkk0QUR2aHpEYjdlWjFCalZmcWRMQ3lhV3hSUldpbm1GeWItbURFNFFlSUFycUVwLTZDdw?oc=5
лобов вадим университет синергия,12,Вадим Георгиевич Лобов: Наши студенты смогут получить два диплома — «Синергии» и ведущего университета страны БРИКС | Россия-Онлайн,russia-on.ru,2024-02-12T08:00:00+00:00,сниппет Google недоступен,https://news.google.com/rss/articles/CBMiREFVX3lxTE4yT3Fqd3RIdk4tOHIzWmVPMlY2RWNvMXJpS2hTYXdkamFwVVNJS3RBYWhGQlFSR1gyb0tuX3BydUowQXRs?oc=5,news.google.com,Новостная публикация (Google News RSS),Средняя: большая часть значимых слов запроса есть в заголовке.,Не определено: Google News RSS не передаёт признак сюжета.,https://news.google.com/rss/articles/CBMiREFVX3lxTE4yT3Fqd3RIdk4tOHIzWmVPMlY2RWNvMXJpS2hTYXdkamFwVVNJS3RBYWhGQlFSR1gyb0tuX3BydUowQXRs?oc=5
лобов вадим университет синергия,13,Глава «Синергии» Вадим Лобов анонсировал запуск Центра трансфера технологий для превращения инноваций в бизнес-продукты — Осетия ТВ,Осетия ТВ,2023-03-07T08:00:00+00:00,сниппет Google недоступен,https://news.google.com/rss/articles/CBMiiAFBVV95cUxOOGQzVDR6MklDam8yT0VIREptSnkwYnk0MGluV3J6UGZXNWdSR0pfMlJMMEc2bUtnNFBDQlFfUlRlWVUwV054M3UxNFVaZHZ1VEM2cGFQckJ2TmlWek4wQmEyOGJWVlhyaDhYRExjSFpKSFp3QmxmT1pHOTZQOENBOFBLWHpJaTli?oc=5,news.google.com,Новостная публикация (Google News RSS),"Низкая: Google News показал результат, но заголовок слабо совпадает с запросом.",Не определено: Google News RSS не передаёт признак сюжета.,https://news.google.com/rss/articles/CBMiiAFBVV95cUxOOGQzVDR6MklDam8yT0VIREptSnkwYnk0MGluV3J6UGZXNWdSR0pfMlJMMEc2bUtnNFBDQlFfUlRlWVUwV054M3UxNFVaZHZ1VEM2cGFQckJ2TmlWek4wQmEyOGJWVlhyaDhYRExjSFpKSFp3QmxmT1pHOTZQOENBOFBLWHpJaTli?oc=5
