Поисковый запрос,Позиция,Заголовок,СМИ / Источник,Дата публикации,Сниппет,URL публикации,Домен,Тип результата,Тональность,Комментарий релевантности,Сюжетный кластер
лобов вадим университет синергия,1,"Вадим Георгиевич Лобов и корпорация ""Синергия"" в фокусе внимания моего очередного подкаста ЖЗЛ Ростокин. Digital",Sostav.ru,12.07.2026 21:04,сниппет Google недоступен,https://www.sostav.ru/blogs/289047/94470,sostav.ru,Авторская колонка / Блог,Позитивная,Высокая прямая релевантность: публикация посвящена Вадиму Лобову как руководителю корпорации «Синергия».,Одиночная публикация (не объединена в сюжет)
лобов вадим университет синергия,2,Шарашкин «университет Синергия» и его мошенник-собственник Вадим Лобов озолотится на уклонистах и халтурщиках,Портал РЕПОСТ,12.07.2024 12:04,сниппет Google недоступен,https://repost.news/news/12722-sharashkin_universitet_sinergija_i_ego_moshennik-sobstvennik_vadim_lobov_ozolotitsja_na_uklonistah_i_halturshchikah,repost.news,Расследование / Критический материал,Негативная,Высокая прямая релевантность: упоминается Вадим Лобов в контексте Университета/Корпорации «Синергия».,Одиночная публикация (не объединена в сюжет)
лобов вадим университет синергия,3,Университет «Синергия» помогает ветеранам СВО Ростовской области получить новую профессию и адаптироваться к мирной жизни,zarya-egorlik.ru,20.01.2026 08:00,сниппет Google недоступен,https://www.zarya-egorlik.ru/universitet-sinergiya-pomogaet-veteranam-svo-rostovskoy-oblasti-poluchit-novuyu-professiyu-i-adaptirovatsya-k-mirnoy-zhizni/,zarya-egorlik.ru,Интервью / Прямая речь,Позитивная,Косвенная релевантность: новость о деятельности корпорации/университета «Синергия» без прямого упоминания фамилии в заголовке.,Одиночная публикация (не объединена в сюжет)
лобов вадим университет синергия,4,Вадим Лобов как президент корпорации Синергия сообщил о создании Центра русского языка в Ираке,Отдел N,01.11.2025 07:00,сниппет Google недоступен,https://otdeln.ru/education/2025/11/01/vadim-lobov-kak-prezident-korporacii-sinergiya-soobshhil-o-sozdanii-centra-russkogo-yazyka-v-irake/,otdeln.ru,Пресс-релиз / Корпоративная новость,Нейтральная,Высокая прямая релевантность: публикация посвящена Вадиму Лобову как руководителю корпорации «Синергия».,Одиночная публикация (не объединена в сюжет)
лобов вадим университет синергия,5,Вадим Лобов: предприниматель и создатель «Синергии»,Вести Подмосковья,28.05.2024 07:00,сниппет Google недоступен,https://vmo24.ru/news/vadim_lobov_predprinimatel_i_sozdatel_sinergii,vmo24.ru,Интервью / Прямая речь,Нейтральная,Высокая прямая релевантность: публикация посвящена Вадиму Лобову как руководителю корпорации «Синергия».,Одиночная публикация (не объединена в сюжет)
лобов вадим университет синергия,6,Интервью с президентом «Синергии»: «Будем привлекать молодежь к правовому просвещению школьников» - новости Право.ру,ПРАВО.Ru,05.07.2024 07:00,сниппет Google недоступен,https://pravo.ru/story/253963/,pravo.ru,Интервью / Прямая речь,Нейтральная,Косвенная релевантность: новость о деятельности корпорации/университета «Синергия» без прямого упоминания фамилии в заголовке.,Одиночная публикация (не объединена в сюжет)
лобов вадим университет синергия,7,"Как устроен бизнес крупнейшего частного вуза ""Синергия"" • Проект.",Проект медиа,22.10.2018 07:00,сниппет Google недоступен,https://www.proekt.media/investigation/synergiya-biznes/,proekt.media,Расследование / Критический материал,Нейтральная,Косвенная релевантность: новость о деятельности корпорации/университета «Синергия» без прямого упоминания фамилии в заголовке.,Одиночная публикация (не объединена в сюжет)
лобов вадим университет синергия,8,Президент корпорации Синергия Вадим Георгиевич Лобов объявил о выходе на образовательный рынок Африки,Мегаполис — Городская сеть информирования и взаимопомощи,03.02.2024 08:00,сниппет Google недоступен,https://megapolisonline.ru/prezident-korporatsii-sinergiya-vadim-georgievich-lobov-obyavil-o-vyhode-na-obrazovatelnyj-rynok-afriki/,megapolisonline.ru,Стандартная новость / Статья,Нейтральная,Высокая прямая релевантность: публикация посвящена Вадиму Лобову как руководителю корпорации «Синергия».,Одиночная публикация (не объединена в сюжет)
лобов вадим университет синергия,9,Вадим Лобов и университет «Синергия»: обещания и реальные отзывы студентов,Парламент.UA,12.11.2024 08:00,сниппет Google недоступен,https://parlament.ua/ru/news/vadim-lobov-i-universitet-sinergiya-obeshhaniya-i-realnye-otzyvy-studentov/,parlament.ua,Интервью / Прямая речь,Нейтральная,Высокая прямая релевантность: упоминается Вадим Лобов в контексте Университета/Корпорации «Синергия».,Одиночная публикация (не объединена в сюжет)
лобов вадим университет синергия,10,Вадим Лобов: «Якутский колледж цифровых профессий поможет республике готовить кадры для креативной экономики»,SakhaDay,12.08.2024 07:00,сниппет Google недоступен,https://sakhaday.ru/news/vadim-lobov-yakutskiy-kolledzh-cifrovyh-professiy-pomozhet-respublike-gotovit-kadry-dlya-kreativnoy-ekonomiki,sakhaday.ru,Интервью / Прямая речь,Позитивная,Прямая релевантность персоне: Вадим Лобов упоминается напрямую.,Одиночная публикация (не объединена в сюжет)
